symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
600519.SS,"Kweichow Moutai Co., Ltd.",EQUITY,CNY,china,"{'raw': 2344069103616, 'fmt': '2.344T', 'longFmt': '2,344,069,103,616'}",3.4213E+11,moutai
601398.SS,Industrial & Commercial Bank of China Ltd.,EQUITY,CNY,china,"{'raw': 1468687712256, 'fmt': '1.469T', 'longFmt': '1,468,687,712,256'}",2.14363E+11,"industrial,&,commercial"
300750.SZ,"Contemporary Amperex Technology Co., Limited",EQUITY,CNY,china,"{'raw': 1244613443584, 'fmt': '1.245T', 'longFmt': '1,244,613,443,584'}",1.81658E+11,amperex
601939.SS,China Construction Bank Corporation,EQUITY,CNY,china,"{'raw': 1069329940480, 'fmt': '1.069T', 'longFmt': '1,069,329,940,480'}",1.56075E+11,"china,construction,bank"
600941.SS,China Mobile Limited,EQUITY,CNY,china,"{'raw': 979951222784, 'fmt': '979.951B', 'longFmt': '979,951,222,784'}",1.43029E+11,"china,mobile"
601288.SS,Agricultural Bank of China Limited,EQUITY,CNY,china,"{'raw': 968376647680, 'fmt': '968.377B', 'longFmt': '968,376,647,680'}",1.4134E+11,"agricultural,bank"
601857.SS,PetroChina Company Limited,EQUITY,CNY,china,"{'raw': 939302977536, 'fmt': '939.303B', 'longFmt': '939,302,977,536'}",1.37097E+11,petrochina
600036.SS,"China Merchants Bank Co., Ltd.",EQUITY,CNY,china,"{'raw': 834053799936, 'fmt': '834.054B', 'longFmt': '834,053,799,936'}",1.21735E+11,"china,merchants"
601988.SS,Bank of China Limited,EQUITY,CNY,china,"{'raw': 830630526976, 'fmt': '830.631B', 'longFmt': '830,630,526,976'}",1.21235E+11,"bank,of,china"
002594.SZ,BYD Company Limited,EQUITY,CNY,china,"{'raw': 809694724096, 'fmt': '809.695B', 'longFmt': '809,694,724,096'}",1.18179E+11,byd
601318.SS,"Ping An Insurance (Group) Company of China, Ltd.",EQUITY,CNY,china,"{'raw': 748985974784, 'fmt': '748.986B', 'longFmt': '748,985,974,784'}",1.09319E+11,"ping,an"
601628.SS,China Life Insurance Company Limited,EQUITY,CNY,china,"{'raw': 680220229632, 'fmt': '680.22B', 'longFmt': '680,220,229,632'}",99281933576,"china,life"
000858.SZ,"Wuliangye Yibin Co.,Ltd.",EQUITY,CNY,china,"{'raw': 654051311616, 'fmt': '654.051B', 'longFmt': '654,051,311,616'}",95462434145,wuliangye
601088.SS,China Shenhua Energy Company Limited,EQUITY,CNY,china,"{'raw': 598396567552, 'fmt': '598.397B', 'longFmt': '598,396,567,552'}",87339314069,shenhua
600900.SS,"China Yangtze Power Co., Ltd.",EQUITY,CNY,china,"{'raw': 530568511488, 'fmt': '530.569B', 'longFmt': '530,568,511,488'}",77439431261,"china,yangtze"
600028.SS,China Petroleum & Chemical Corporation,EQUITY,CNY,china,"{'raw': 482130755584, 'fmt': '482.131B', 'longFmt': '482,130,755,584'}",70369670829,"china,petroleum"
600938.SS,CNOOC Limited,EQUITY,CNY,china,"{'raw': 454912540672, 'fmt': '454.913B', 'longFmt': '454,912,540,672'}",66397020668,cnooc
601012.SS,"LONGi Green Energy Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 404478885888, 'fmt': '404.479B', 'longFmt': '404,478,885,888'}",59035947671,longi
601658.SS,"Postal Savings Bank of China Co., Ltd.",EQUITY,CNY,china,"{'raw': 398757298176, 'fmt': '398.757B', 'longFmt': '398,757,298,176'}",58200850057,"postal,savings"
601888.SS,China Tourism Group Duty Free Corporation Limited,EQUITY,CNY,china,"{'raw': 369409196032, 'fmt': '369.409B', 'longFmt': '369,409,196,032'}",53917330983,"china,tourism"
601166.SS,"Industrial Bank Co., Ltd.",EQUITY,CNY,china,"{'raw': 365833650176, 'fmt': '365.834B', 'longFmt': '365,833,650,176'}",53395460138,"industrial,bank"
603288.SS,Foshan Haitian Flavouring and Food Company Ltd.,EQUITY,CNY,china,"{'raw': 358890110976, 'fmt': '358.89B', 'longFmt': '358,890,110,976'}",52382011894,"foshan,haitian"
000333.SZ,"Midea Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 356829069312, 'fmt': '356.829B', 'longFmt': '356,829,069,312'}",52081191376,midea
300760.SZ,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",EQUITY,CNY,china,"{'raw': 353086799872, 'fmt': '353.087B', 'longFmt': '353,086,799,872'}",51534986294,mindray
600809.SS,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",EQUITY,CNY,china,"{'raw': 331834654720, 'fmt': '331.835B', 'longFmt': '331,834,654,720'}",48433117265,shanxi
601728.SS,China Telecom Corporation Limited,EQUITY,CNY,china,"{'raw': 324435640320, 'fmt': '324.436B', 'longFmt': '324,435,640,320'}",47353189877,"china,telecom"
000568.SZ,"Luzhou Laojiao Co.,Ltd.",EQUITY,CNY,china,"{'raw': 320504102912, 'fmt': '320.504B', 'longFmt': '320,504,102,912'}",46779360080,laojiao
601328.SS,"Bank of Communications Co., Ltd.",EQUITY,CNY,china,"{'raw': 317422632960, 'fmt': '317.423B', 'longFmt': '317,422,632,960'}",46329602367,"bank,of,communications"
002714.SZ,"Muyuan Foods Co., Ltd.",EQUITY,CNY,china,"{'raw': 315976646656, 'fmt': '315.977B', 'longFmt': '315,976,646,656'}",46118552607,muyuan
300059.SZ,"East Money Information Co.,Ltd.",EQUITY,CNY,china,"{'raw': 298244472832, 'fmt': '298.244B', 'longFmt': '298,244,472,832'}",43530443011,"east,money"
600030.SS,CITIC Securities Company Limited,EQUITY,CNY,china,"{'raw': 277972156416, 'fmt': '277.972B', 'longFmt': '277,972,156,416'}",40571585447,citic
002415.SZ,"Hangzhou Hikvision Digital Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 277902360576, 'fmt': '277.902B', 'longFmt': '277,902,360,576'}",40561398355,hikvision
600309.SS,"Wanhua Chemical Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 274728108032, 'fmt': '274.728B', 'longFmt': '274,728,108,032'}",40098098505,wanhua
002475.SZ,"Luxshare Precision Industry Co., Ltd.",EQUITY,CNY,china,"{'raw': 262161661952, 'fmt': '262.162B', 'longFmt': '262,161,661,952'}",38263955663,luxshare
600438.SS,"Tongwei Co.,Ltd",EQUITY,CNY,china,"{'raw': 255778078720, 'fmt': '255.778B', 'longFmt': '255,778,078,720'}",37332236113,tongwei
002304.SZ,"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.",EQUITY,CNY,china,"{'raw': 255253970944, 'fmt': '255.254B', 'longFmt': '255,253,970,944'}",37255739662,joint-stock
603259.SS,"WuXi AppTec Co., Ltd.",EQUITY,CNY,china,"{'raw': 254124638208, 'fmt': '254.125B', 'longFmt': '254,124,638,208'}",37090907255,apptec
601633.SS,Great Wall Motor Company Limited,EQUITY,CNY,china,"{'raw': 246726311936, 'fmt': '246.726B', 'longFmt': '246,726,311,936'}",36011080303,"great,wall,motor"
300999.SZ,"Yihai Kerry Arawana Holdings Co., Ltd",EQUITY,CNY,china,"{'raw': 243320963072, 'fmt': '243.321B', 'longFmt': '243,320,963,072'}",35514050657,yihai
002352.SZ,"S.F. Holding Co., Ltd.",EQUITY,CNY,china,"{'raw': 239228436480, 'fmt': '239.228B', 'longFmt': '239,228,436,480'}",34916723592,"sf,holding"
601899.SS,Zijin Mining Group Company Limited,EQUITY,CNY,china,"{'raw': 229691834368, 'fmt': '229.692B', 'longFmt': '229,691,834,368'}",33524803364,zijin
600887.SS,"Inner Mongolia Yili Industrial Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 225001144320, 'fmt': '225.001B', 'longFmt': '225,001,144,320'}",32840171009,yili
601225.SS,Shaanxi Coal Industry Company Limited,EQUITY,CNY,china,"{'raw': 222306336768, 'fmt': '222.306B', 'longFmt': '222,306,336,768'}",32446848828,shaanxi
601816.SS,"Beijing-Shanghai High-Speed Railway Co.,Ltd.",EQUITY,CNY,china,"{'raw': 221470326784, 'fmt': '221.47B', 'longFmt': '221,470,326,784'}",32324828511,beijing-shanghai
600276.SS,"Jiangsu Hengrui Medicine Co., Ltd.",EQUITY,CNY,china,"{'raw': 218097991680, 'fmt': '218.098B', 'longFmt': '218,097,991,680'}",31832617408,hengrui
601919.SS,"COSCO SHIPPING Holdings Co., Ltd.",EQUITY,CNY,china,"{'raw': 213536587776, 'fmt': '213.537B', 'longFmt': '213,536,587,776'}",31166855086,cosco
600690.SS,"Haier Smart Home Co., Ltd.",EQUITY,CNY,china,"{'raw': 212236926976, 'fmt': '212.237B', 'longFmt': '212,236,926,976'}",30977162349,haier
600000.SS,"Shanghai Pudong Development Bank Co., Ltd.",EQUITY,CNY,china,"{'raw': 210161745920, 'fmt': '210.162B', 'longFmt': '210,161,745,920'}",30674278108,"shanghai,pudong"
601668.SS,China State Construction Engineering Corporation Limited,EQUITY,CNY,china,"{'raw': 210088361984, 'fmt': '210.088B', 'longFmt': '210,088,361,984'}",30663567314,"china,state,construction"
300015.SZ,"Aier Eye Hospital Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 207770271744, 'fmt': '207.77B', 'longFmt': '207,770,271,744'}",30325229124,aier
300274.SZ,"Sungrow Power Supply Co., Ltd.",EQUITY,CNY,china,"{'raw': 202223484928, 'fmt': '202.223B', 'longFmt': '202,223,484,928'}",29515644674,sungrow
600048.SS,"Poly Developments and Holdings Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 199546568704, 'fmt': '199.547B', 'longFmt': '199,546,568,704'}",29124933832,"poly,developments"
600188.SS,Yankuang Energy Group Company Limited,EQUITY,CNY,china,"{'raw': 198820806656, 'fmt': '198.821B', 'longFmt': '198,820,806,656'}",29019004816,yankuang
300014.SZ,"EVE Energy Co., Ltd.",EQUITY,CNY,china,"{'raw': 197341249536, 'fmt': '197.341B', 'longFmt': '197,341,249,536'}",28803055208,"eve,energy"
601319.SS,The People's Insurance Company (Group) of China Limited,EQUITY,CNY,china,"{'raw': 188115271680, 'fmt': '188.115B', 'longFmt': '188,115,271,680'}",27456472321,"people's,insurance"
600104.SS,SAIC Motor Corporation Limited,EQUITY,CNY,china,"{'raw': 187169669120, 'fmt': '187.17B', 'longFmt': '187,169,669,120'}",27318456358,"saic,motor"
601138.SS,"Foxconn Industrial Internet Co., Ltd.",EQUITY,CNY,china,"{'raw': 184310071296, 'fmt': '184.31B', 'longFmt': '184,310,071,296'}",26901082118,foxconn
600406.SS,"NARI Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 184303157248, 'fmt': '184.303B', 'longFmt': '184,303,157,248'}",26900072974,"nari,technology"
002142.SZ,"Bank of Ningbo Co., Ltd.",EQUITY,CNY,china,"{'raw': 184108089344, 'fmt': '184.108B', 'longFmt': '184,108,089,344'}",26871601726,"bank,of,ningbo"
600905.SS,"China Three Gorges Renewables (Group) Co.,Ltd.",EQUITY,CNY,china,"{'raw': 180309164032, 'fmt': '180.309B', 'longFmt': '180,309,164,032'}",26317127404,"china,three"
002812.SZ,"Yunnan Energy New Material Co., Ltd.",EQUITY,CNY,china,"{'raw': 177696473088, 'fmt': '177.696B', 'longFmt': '177,696,473,088'}",25935790600,"yunnan,energy"
000002.SZ,"China Vanke Co., Ltd.",EQUITY,CNY,china,"{'raw': 175340879872, 'fmt': '175.341B', 'longFmt': '175,340,879,872'}",25591978642,vanke
601601.SS,"China Pacific Insurance (Group) Co., Ltd.",EQUITY,CNY,china,"{'raw': 175248736256, 'fmt': '175.249B', 'longFmt': '175,248,736,256'}",25578529767,"china,pacific"
600436.SS,"Zhangzhou Pientzehuang Pharmaceutical., Ltd",EQUITY,CNY,china,"{'raw': 173875970048, 'fmt': '173.876B', 'longFmt': '173,875,970,048'}",25378166888,pientzehuang
200725.SZ,BOE Technology Group Company Limited,EQUITY,HKD,china,"{'raw': 171287232512, 'fmt': '171.287B', 'longFmt': '171,287,232,512'}",25000326217,"boe,technology"
002129.SZ,"TCL Zhonghuan Renewable Energy Technology Co.,Ltd.",EQUITY,CNY,china,"{'raw': 170829250560, 'fmt': '170.829B', 'longFmt': '170,829,250,560'}",24933481199,tcl
002460.SZ,"Ganfeng Lithium Co., Ltd.",EQUITY,CNY,china,"{'raw': 164364238848, 'fmt': '164.364B', 'longFmt': '164,364,238,848'}",23989876708,ganfeng
601066.SS,"CSC Financial Co., Ltd.",EQUITY,CNY,china,"{'raw': 169147252736, 'fmt': '169.147B', 'longFmt': '169,147,252,736'}",24687984242,"csc,financial"
000651.SZ,"Gree Electric Appliances, Inc. of Zhuhai",EQUITY,CNY,china,"{'raw': 168885993472, 'fmt': '168.886B', 'longFmt': '168,885,993,472'}",24649851997,"gree,electric"
002466.SZ,Tianqi Lithium Corporation,EQUITY,CNY,china,"{'raw': 167532675072, 'fmt': '167.533B', 'longFmt': '167,532,675,072'}",24452327634,tianqi
300498.SZ,"Wens Foodstuff Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 165489213440, 'fmt': '165.489B', 'longFmt': '165,489,213,440'}",24154073020,"wens,foodstuff"
300124.SZ,"Shenzhen Inovance Technology Co.,Ltd",EQUITY,CNY,china,"{'raw': 163167272960, 'fmt': '163.167B', 'longFmt': '163,167,272,960'}",23815172866,inovance
600585.SS,Anhui Conch Cement Company Limited,EQUITY,CNY,china,"{'raw': 162351349760, 'fmt': '162.351B', 'longFmt': '162,351,349,760'}",23696084327,"anhui,conch"
688981.SS,Semiconductor Manufacturing International Corporation,EQUITY,CNY,china,"{'raw': 155836153856, 'fmt': '155.836B', 'longFmt': '155,836,153,856'}",22745155174,"semiconductor,manufacturing"
300122.SZ,"Chongqing Zhifei Biological Products Co., Ltd.",EQUITY,CNY,china,"{'raw': 154347503616, 'fmt': '154.348B', 'longFmt': '154,347,503,616'}",22527878375,zhifei
200625.SZ,Chongqing Changan Automobile Company Limited,EQUITY,HKD,china,"{'raw': 153684705280, 'fmt': '153.685B', 'longFmt': '153,684,705,280'}",22431139264,"chongqing,changan"
002459.SZ,"JA Solar Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 152014225408, 'fmt': '152.014B', 'longFmt': '152,014,225,408'}",22187323417,"ja,solar"
001289.SZ,China Longyuan Power Group Corporation Limited,EQUITY,CNY,china,"{'raw': 151956602880, 'fmt': '151.957B', 'longFmt': '151,956,602,880'}",22178913087,longyuan
000792.SZ,"Qinghai Salt Lake Industry Co.,Ltd",EQUITY,CNY,china,"{'raw': 151305715712, 'fmt': '151.306B', 'longFmt': '151,305,715,712'}",22083912478,qinghai
002371.SZ,"NAURA Technology Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 151345315840, 'fmt': '151.345B', 'longFmt': '151,345,315,840'}",22089692337,naura
002049.SZ,"Unigroup Guoxin Microelectronics Co., Ltd.",EQUITY,CNY,china,"{'raw': 141034930176, 'fmt': '141.035B', 'longFmt': '141,034,930,176'}",20584834087,unigroup
688599.SS,"Trina Solar Co., Ltd",EQUITY,CNY,china,"{'raw': 149997207552, 'fmt': '149.997B', 'longFmt': '149,997,207,552'}",21892928419,"trina,solar"
600016.SS,"China Minsheng Banking Corp., Ltd.",EQUITY,CNY,china,"{'raw': 145852563456, 'fmt': '145.853B', 'longFmt': '145,852,563,456'}",21287994514,"china,minsheng"
601995.SS,China International Capital Corporation Limited,EQUITY,CNY,china,"{'raw': 145702682624, 'fmt': '145.703B', 'longFmt': '145,702,682,624'}",21266118571,"china,international"
002493.SZ,"Rongsheng Petrochemical Co., Ltd.",EQUITY,CNY,china,"{'raw': 145098424320, 'fmt': '145.098B', 'longFmt': '145,098,424,320'}",21177923704,rongsheng
601818.SS,China Everbright Bank Company Limited,EQUITY,CNY,china,"{'raw': 142954332160, 'fmt': '142.954B', 'longFmt': '142,954,332,160'}",20864981504,everbright
600346.SS,"Hengli Petrochemical Co.,Ltd.",EQUITY,CNY,china,"{'raw': 136136196096, 'fmt': '136.136B', 'longFmt': '136,136,196,096'}",19869836546,hengli
600009.SS,"Shanghai International Airport Co., Ltd.",EQUITY,CNY,china,"{'raw': 133674164224, 'fmt': '133.674B', 'longFmt': '133,674,164,224'}",19510489272,"shanghai,international"
200596.SZ,"Anhui Gujing Distillery Co., Ltd.",EQUITY,HKD,china,"{'raw': 131860987904, 'fmt': '131.861B', 'longFmt': '131,860,987,904'}",19245846083,gujing
603260.SS,"Hoshine Silicon Industry Co., Ltd.",EQUITY,CNY,china,"{'raw': 132187357184, 'fmt': '132.187B', 'longFmt': '132,187,357,184'}",19293481498,hoshine
600031.SS,"Sany Heavy Industry Co., Ltd",EQUITY,CNY,china,"{'raw': 131898449920, 'fmt': '131.898B', 'longFmt': '131,898,449,920'}",19251313873,sany
601390.SS,China Railway Group Limited,EQUITY,CNY,china,"{'raw': 131762028544, 'fmt': '131.762B', 'longFmt': '131,762,028,544'}",19231402413,"china,railway"
000301.SZ,"Jiangsu Eastern Shenghong Co., Ltd.",EQUITY,CNY,china,"{'raw': 130975096832, 'fmt': '130.975B', 'longFmt': '130,975,096,832'}",19116545344,shenghong
600025.SS,Huaneng Lancang River Hydropower Inc.,EQUITY,CNY,china,"{'raw': 131039993856, 'fmt': '131.04B', 'longFmt': '131,039,993,856'}",19126017426,huaneng
601766.SS,CRRC Corporation Limited,EQUITY,CNY,china,"{'raw': 130483814400, 'fmt': '130.484B', 'longFmt': '130,483,814,400'}",19044839935,crrc
003816.SZ,"CGN Power Co., Ltd.",EQUITY,CNY,china,"{'raw': 128009109504, 'fmt': '128.009B', 'longFmt': '128,009,109,504'}",18683642963,"cgn,power"
603799.SS,"Zhejiang Huayou Cobalt Co., Ltd",EQUITY,CNY,china,"{'raw': 127482830848, 'fmt': '127.483B', 'longFmt': '127,482,830,848'}",18606829660,huayou
600893.SS,"AECC Aviation Power Co.,Ltd",EQUITY,CNY,china,"{'raw': 127415197696, 'fmt': '127.415B', 'longFmt': '127,415,197,696'}",18596958225,aecc
601985.SS,"China National Nuclear Power Co., Ltd.",EQUITY,CNY,china,"{'raw': 125543661568, 'fmt': '125.544B', 'longFmt': '125,543,661,568'}",18323797096,"china,national"
601111.SS,Air China Limited,EQUITY,CNY,china,"{'raw': 125288169472, 'fmt': '125.288B', 'longFmt': '125,288,169,472'}",18286506601,"air,china"
601238.SS,"Guangzhou Automobile Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 122980622336, 'fmt': '122.981B', 'longFmt': '122,980,622,336'}",17949707236,"guangzhou,automobile"
600150.SS,China CSSC Holdings Limited,EQUITY,CNY,china,"{'raw': 123170725888, 'fmt': '123.171B', 'longFmt': '123,170,725,888'}",17977453909,cssc
688303.SS,"Xinjiang Daqo New Energy Co.,Ltd.",EQUITY,CNY,china,"{'raw': 122473021440, 'fmt': '122.473B', 'longFmt': '122,473,021,440'}",17875620056,daqo
