symbol,name_original,refine_name,pass,Country,IPO Year
AAPL,Apple Inc. Common Stock,apple,sobig,United States,1980
MSFT,Microsoft Corporation Common Stock,microsoft,sobig,United States,1986
GOOG,Alphabet Inc. Class C Capital Stock,google,sobig,United States,2004
AMZN,Amazon.com Inc. Common Stock,amazon,sobig,United States,1997
TSLA,Tesla Inc. Common Stock,tesla,0,United States,2010
UNH,UnitedHealth Group Incorporated Common Stock (DE),unitedhealth,0,United States,
JNJ,Johnson & Johnson Common Stock,"johnson,&",0,United States,
V,Visa Inc.,visa,0,United States,
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,tsmc,0,Taiwan,1997
NVDA,NVIDIA Corporation Common Stock,nvidia,0,United States,1999
XOM,Exxon Mobil Corporation Common Stock,exxon,0,United States,
PG,Procter & Gamble Company (The) Common Stock,procter,0,United States,
WMT,Walmart Inc. Common Stock,walmart,sobig,United States,
JPM,JP Morgan Chase & Co. Common Stock,"jp,morgan",0,United States,
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,alibaba,0,China,2014
MA,Mastercard Incorporated Common Stock,mastercard,0,United States,2006
LLY,Eli Lilly and Company Common Stock,"eli,lilly",0,United States,
PFE,Pfizer Inc. Common Stock,pfizer,0,United States,
HD,Home Depot Inc. (The) Common Stock,"home,depot",0,United States,
CVX,Chevron Corporation Common Stock,chevron,0,United States,
BAC,Bank of America Corporation Common Stock,boa,pass,United States,
KO,Coca-Cola Company (The) Common Stock,"coca,cola",0,United States,
ABBV,AbbVie Inc. Common Stock,abbvie,0,United States,2012
NVO,Novo Nordisk A/S Common Stock,nordisk,0,Denmark,
PEP,PepsiCo Inc. Common Stock,pepsico,0,United States,
MRK,Merck & Company Inc. Common Stock (new),merck,0,United States,
COST,Costco Wholesale Corporation Common Stock,costco,0,United States,
TMO,Thermo Fisher Scientific Inc Common Stock,"thermo,fisher",0,United States,
TM,Toyota Motor Corporation Common Stock,toyota,0,Japan,
VZ,Verizon Communications Inc. Common Stock,verizon,0,United States,
AZN,AstraZeneca PLC American Depositary Shares,astrazeneca,0,United Kingdom,
AVGO,Broadcom Inc. Common Stock,broadcom,0,United States,2009
ABT,Abbott Laboratories Common Stock,abbott,0,United States,
DHR,Danaher Corporation Common Stock,danaher,0,United States,
ORCL,Oracle Corporation Common Stock,oracle,0,United States,1986
MCD,McDonald's Corporation Common Stock,mcdonald's,0,United States,
NVS,Novartis AG Common Stock,novartis,0,Switzerland,
ADBE,Adobe Inc. Common Stock,adobe,0,United States,1986
ASML,ASML Holding N.V. New York Registry Shares,asml,0,Netherlands,1995
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,"royal,dutch",0,Netherlands,
CMCSA,Comcast Corporation Class A Common Stock,comcast,0,United States,
CSCO,Cisco Systems Inc. Common Stock (DE),cisco,0,United States,1990
DIS,Walt Disney Company (The) Common Stock,"walt,disney",0,United States,
ACN,Accenture plc Class A Ordinary Shares (Ireland),accenture,0,Ireland,2001
CRM,Salesforce Inc. Common Stock,salesforce,0,United States,2004
TMUS,T-Mobile US Inc. Common Stock,t-mobile,0,United States,
NKE,Nike Inc. Common Stock,nike,0,United States,
UPS,United Parcel Service Inc. Common Stock,"united,parcel",0,United States,1999
BMY,Bristol-Myers Squibb Company Common Stock,squibb,0,United States,
NEE,NextEra Energy Inc. Common Stock,"nextera,energy",0,United States,
INTC,Intel Corporation Common Stock,intel,0,United States,
WFC,Wells Fargo & Company Common Stock,"wells,fargo",0,United States,
T,AT&T Inc.,at&t,0,United States,
QCOM,QUALCOMM Incorporated Common Stock,"qualcomm,incorporated",0,United States,1991
PM,Philip Morris International Inc Common Stock,"philip,morris",0,United States,
TXN,Texas Instruments Incorporated Common Stock,"texas,instruments",0,United States,
RTX,Raytheon Technologies Corporation Common Stock,raytheon,0,United States,
LIN,Linde plc Ordinary Share,linde,0,,2018
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),bhp,0,Australia,
MS,Morgan Stanley Common Stock,"morgan,stanley",0,United States,
UNP,Union Pacific Corporation Common Stock,"union,pacific",0,United States,
AMGN,Amgen Inc. Common Stock,amgen,0,United States,1983
TTE,TotalEnergies SE,totalenergies,0,France,
HSBC,HSBC Holdings plc. Common Stock,hsbc,0,United Kingdom,
AMD,Advanced Micro Devices Inc. Common Stock,"advanced,micro",0,United States,
IBM,International Business Machines Corporation Common Stock,ibm,0,United States,
SNY,Sanofi ADS,sanofi,0,France,
CVS,CVS Health Corporation Common Stock,cvs,0,United States,
SCHW,Charles Schwab Corporation (The) Common Stock,"charles,schwab",0,United States,
AMT,American Tower Corporation (REIT) Common Stock,"american,tower",0,United States,
MDT,Medtronic plc. Ordinary Shares,medtronic,0,United States,
HON,Honeywell International Inc. Common Stock,honeywell,0,United States,
UL,Unilever PLC Common Stock,unilever,0,United Kingdom,
LOW,Lowe's Companies Inc. Common Stock,lowe's,0,United States,
INTU,Intuit Inc. Common Stock,intuit,0,United States,1993
TD,Toronto Dominion Bank (The) Common Stock,"toronto,dominion",0,Canada,
LMT,Lockheed Martin Corporation Common Stock,lockheed,0,United States,
COP,ConocoPhillips Common Stock,conocophillips,0,United States,
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),glaxosmithkline,0,United Kingdom,
EQNR,Equinor ASA,equinor,0,Norway,
HDB,HDFC Bank Limited Common Stock,hdfc,0,India,2001
SAP,SAP  SE ADS,sap,0,Germany,
AXP,American Express Company Common Stock,"american,express",0,United States,
GS,Goldman Sachs Group Inc. (The) Common Stock,"goldman,sachs",0,United States,1999
SONY,Sony Group Corporation American Depositary Shares ,sony,0,Japan,
NOW,ServiceNow Inc. Common Stock,servicenow,0,United States,2012
JD,JD.com Inc. American Depositary Shares,jdcom,0,China,2014
DEO,Diageo plc Common Stock,diageo,0,United Kingdom,
RIO,Rio Tinto Plc Common Stock,"rio,tinto",0,Australia,2002
CAT,Caterpillar Inc. Common Stock,"caterpillar,inc",pass,United States,
CHTR,Charter Communications Inc. Class A Common Stock New,"charter,communications",0,United States,
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),"anheuser,busch",0,Belgium,
BLK,BlackRock Inc. Common Stock,blackrock,0,United States,1999
