symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
7203.T,Toyota Motor Corporation,EQUITY,JPY,japan,"{'raw': 28867148382208, 'fmt': '28.867T', 'longFmt': '28,867,148,382,208'}",211465457064,toyota
6758.T,Sony Group Corporation,EQUITY,JPY,japan,"{'raw': 14094020116480, 'fmt': '14.094T', 'longFmt': '14,094,020,116,480'}",103245335020,sony
9432.T,Nippon Telegraph and Telephone Corporation,EQUITY,JPY,japan,"{'raw': 13397735243776, 'fmt': '13.398T', 'longFmt': '13,397,735,243,776'}",98144720408,ntt
6861.T,Keyence Corporation,EQUITY,JPY,japan,"{'raw': 13142483533824, 'fmt': '13.142T', 'longFmt': '13,142,483,533,824'}",96274881420,keyence
9433.T,KDDI Corporation,EQUITY,JPY,japan,"{'raw': 9386100523008, 'fmt': '9.386T', 'longFmt': '9,386,100,523,008'}",68757606773,kddi
8306.T,"Mitsubishi UFJ Financial Group, Inc.",EQUITY,JPY,japan,"{'raw': 9118439964672, 'fmt': '9.118T', 'longFmt': '9,118,439,964,672'}",66796867127,mitsubishi
9984.T,SoftBank Group Corp.,EQUITY,JPY,japan,"{'raw': 8901950963712, 'fmt': '8.902T', 'longFmt': '8,901,950,963,712'}",65210983238,softbank
9983.T,"Fast Retailing Co., Ltd.",EQUITY,JPY,japan,"{'raw': 8580180213760, 'fmt': '8.58T', 'longFmt': '8,580,180,213,760'}",62853860955,"fast,retailing"
4568.T,"Daiichi Sankyo Company, Limited",EQUITY,JPY,japan,"{'raw': 7979596775424, 'fmt': '7.98T', 'longFmt': '7,979,596,775,424'}",58454304421,daiichi
6098.T,"Recruit Holdings Co., Ltd.",EQUITY,JPY,japan,"{'raw': 7557131796480, 'fmt': '7.557T', 'longFmt': '7,557,131,796,480'}",55359549487,"recruit,holdings"
6367.T,"Daikin Industries,Ltd.",EQUITY,JPY,japan,"{'raw': 7286392619008, 'fmt': '7.286T', 'longFmt': '7,286,392,619,008'}",53376257506,daikin
8035.T,Tokyo Electron Limited,EQUITY,JPY,japan,"{'raw': 6988502663168, 'fmt': '6.989T', 'longFmt': '6,988,502,663,168'}",51194073286,"tokyo,electron"
